15:43:42.727	127.0.0.1:52369	admin	REQUEST	EXIT	0.35 ms
15:43:42.727	127.0.0.1:52369	admin	OK		0.16 ms
15:43:53.788	127.0.0.1:52373	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopGlobal()	0.11 ms
15:43:53.792	127.0.0.1:52373	admin	OK	EXEC[0]	4.39 ms
15:43:53.793	127.0.0.1:52373	admin	OK	CLOSE[0]	0.06 ms
15:43:53.793	127.0.0.1:52373	admin	REQUEST	EXIT	0.29 ms
15:43:53.793	127.0.0.1:52373	admin	OK		0.12 ms
15:44:10.316	127.0.0.1:52381	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.29 ms
15:44:10.320	127.0.0.1:52381	admin	OK	EXEC[0]	3.96 ms
15:44:10.321	127.0.0.1:52381	admin	OK	CLOSE[0]	0.06 ms
15:44:10.321	127.0.0.1:52381	admin	REQUEST	EXIT	0.49 ms
15:44:10.321	127.0.0.1:52381	admin	OK		0.15 ms
15:44:11.743	127.0.0.1:52383	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.14 ms
15:44:11.749	127.0.0.1:52383	admin	OK	EXEC[0]	5.31 ms
15:44:11.749	127.0.0.1:52383	admin	OK	CLOSE[0]	0.07 ms
15:44:11.750	127.0.0.1:52383	admin	REQUEST	EXIT	0.42 ms
15:44:11.750	127.0.0.1:52383	admin	OK		0.22 ms
15:44:11.751	127.0.0.1:52384	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.14 ms
15:44:11.755	127.0.0.1:52384	admin	OK	EXEC[0]	3.86 ms
15:44:11.755	127.0.0.1:52384	admin	OK	CLOSE[0]	0.05 ms
15:44:11.756	127.0.0.1:52384	admin	REQUEST	EXIT	0.28 ms
15:44:11.756	127.0.0.1:52384	admin	OK		0.13 ms
15:44:19.875	127.0.0.1:52387	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopPortugal()	0.15 ms
15:44:19.880	127.0.0.1:52387	admin	OK	EXEC[0]	4.19 ms
15:44:19.880	127.0.0.1:52387	admin	OK	CLOSE[0]	0.05 ms
15:44:19.881	127.0.0.1:52387	admin	REQUEST	EXIT	0.36 ms
15:44:19.881	127.0.0.1:52387	admin	OK		0.13 ms
15:44:21.143	127.0.0.1:52389	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo("Arctic Monkeys")	0.13 ms
15:44:21.150	127.0.0.1:52389	admin	OK	EXEC[0]	6.48 ms
15:44:21.150	127.0.0.1:52389	admin	OK	CLOSE[0]	0.05 ms
15:44:21.151	127.0.0.1:52389	admin	REQUEST	EXIT	0.45 ms
15:44:21.151	127.0.0.1:52389	admin	OK		0.24 ms
16:03:05.338	127.0.0.1:52607	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.16 ms
16:03:05.347	127.0.0.1:52607	admin	OK	EXEC[0]	9.03 ms
16:03:05.348	127.0.0.1:52607	admin	OK	CLOSE[0]	0.13 ms
16:03:05.348	127.0.0.1:52607	admin	REQUEST	EXIT	0.31 ms
16:03:05.348	127.0.0.1:52607	admin	OK		0.1 ms
16:05:34.147	127.0.0.1:52614	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.21 ms
16:05:34.152	127.0.0.1:52614	admin	OK	EXEC[0]	5.53 ms
16:05:34.153	127.0.0.1:52614	admin	OK	CLOSE[0]	0.08 ms
16:05:34.153	127.0.0.1:52614	admin	REQUEST	EXIT	0.35 ms
16:05:34.153	127.0.0.1:52614	admin	OK		0.15 ms
16:05:34.155	127.0.0.1:52615	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.11 ms
16:05:34.158	127.0.0.1:52615	admin	OK	EXEC[0]	3.41 ms
16:05:34.159	127.0.0.1:52615	admin	OK	CLOSE[0]	0.07 ms
16:05:34.159	127.0.0.1:52615	admin	REQUEST	EXIT	0.42 ms
16:05:34.159	127.0.0.1:52615	admin	OK		0.13 ms
16:05:36.132	127.0.0.1:52617	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopGlobal()	0.11 ms
16:05:36.136	127.0.0.1:52617	admin	OK	EXEC[0]	4.0 ms
